permission,purpose,comfortness,grade
COARSE_LOC,TARGETED_ADS,-0.019233922,A
SMS,INTERNAL,-0.0546875,A
CONTACT,INTERNAL,-0.088096429,A
PHONE_STATE,MOBILE_ANALYTICS,-0.093980836,A
SMS,SNS,-0.166666667,A
ACCOUNTS,SNS,-0.231481481,B
FINE_LOC,TARGETED_ADS,-0.279115426,B
COARSE_LOC,MOBILE_ANALYTICS,-0.285714286,B
PHONE_STATE,TARGETED_ADS,-0.300123515,B
PHONE_STATE,SNS,-0.416666667,C
PHONE_STATE,PAYMENT,-0.539801493,C
CONTACT,SNS,-0.558044571,C
ACCOUNTS,TARGETED_ADS,-0.589804372,C
CAMERA,TARGETED_ADS,-0.806533862,D
SMS,PAYMENT,-0.929824561,D
CONTACT,TARGETED_ADS,-0.971579769,D
