description	label	name	permissionFlags	permissionGroup	protectionLevel
Allows the app to send SMS messages. This may result in unexpected charges. Malicious apps may cost you money by sending messages without your confirmation.	send SMS messages	android.permission.SEND_SMS	costsMoney	android.permission-group.MESSAGES	dangerous
Allows the app to send requests to other messaging apps to handle respond-via-message events for incoming calls.	send respond-via-message events	android.permission.SEND_RESPOND_VIA_MESSAGE		android.permission-group.MESSAGES	signature|system
Allows the app to receive and process SMS messages. This means the app could monitor or delete messages sent to your device without showing them to you.	receive text messages (SMS)	android.permission.RECEIVE_SMS		android.permission-group.MESSAGES	dangerous
Allows the app to receive and process MMS messages. This means the app could monitor or delete messages sent to your device without showing them to you.	receive text messages (MMS)	android.permission.RECEIVE_MMS		android.permission-group.MESSAGES	dangerous
Allows the app to receive and process emergency broadcast messages. This permission is only available to system apps.	receive emergency broadcasts	android.permission.RECEIVE_EMERGENCY_BROADCAST		android.permission-group.MESSAGES	signature|system
Allows the app to read cell broadcast messages received by your device. Cell broadcast alerts are delivered in some locations to warn you of emergency situations. Malicious apps may interfere with the performance or operation of your device when an emergency cell broadcast is received.	read cell broadcast messages	android.permission.READ_CELL_BROADCASTS		android.permission-group.MESSAGES	dangerous
Allows the app to read SMS messages stored on your tablet or SIM card. This allows the app to read all SMS messages, regardless of content or confidentiality.	read your text messages (SMS or MMS)	android.permission.READ_SMS		android.permission-group.MESSAGES	dangerous
Allows the app to write to SMS messages stored on your tablet or SIM card. Malicious apps may delete your messages.	edit your text messages (SMS or MMS)	android.permission.WRITE_SMS		android.permission-group.MESSAGES	dangerous
Allows the app to receive and process WAP messages. This permission includes the ability to monitor or delete messages sent to you without showing them to you.	receive text messages (WAP)	android.permission.RECEIVE_WAP_PUSH		android.permission-group.MESSAGES	dangerous
Allows the app to read data about your contacts stored on your tablet, including the frequency with which you\'ve called, emailed, or communicated in other ways with specific individuals. This permission allows apps to save your contact data, and malicious apps may share contact data without your knowledge.	read your contacts	android.permission.READ_CONTACTS		android.permission-group.SOCIAL_INFO	dangerous
Allows the app to modify the data about your contacts stored on your tablet, including the frequency with which you\'ve called, emailed, or communicated in other ways with specific contacts. This permission allows apps to delete contact data.	modify your contacts	android.permission.WRITE_CONTACTS		android.permission-group.SOCIAL_INFO	dangerous
		android.permission.BIND_DIRECTORY_SEARCH		android.permission-group.PERSONAL_INFO	signature|system
